datetime,discharge
1962-04-01 00:00:00,3.3
1962-04-02 00:00:00,3.1
1962-04-03 00:00:00,3.1
1962-04-04 00:00:00,3.1
1962-04-05 00:00:00,3.1
1962-04-06 00:00:00,3.0
1962-04-07 00:00:00,3.0
1962-04-08 00:00:00,2.9
1962-04-09 00:00:00,2.9
1962-04-10 00:00:00,2.9
1962-04-11 00:00:00,2.9
1962-04-12 00:00:00,2.9
1962-04-13 00:00:00,2.9
1962-04-14 00:00:00,2.8
1962-04-15 00:00:00,2.8
1962-04-16 00:00:00,2.7
1962-04-17 00:00:00,2.7
1962-04-18 00:00:00,2.7
1962-04-19 00:00:00,2.6
1962-04-20 00:00:00,3.5
1962-04-21 00:00:00,3.7
1962-04-22 00:00:00,3.8
1962-04-23 00:00:00,9.2
1962-04-24 00:00:00,8.2
1962-04-25 00:00:00,7.1
1962-04-26 00:00:00,7.8
1962-04-27 00:00:00,7.3
1962-04-28 00:00:00,6.4
1962-04-29 00:00:00,6.1
1962-04-30 00:00:00,5.4
1962-05-01 00:00:00,4.2
1962-05-02 00:00:00,4.1
1962-05-03 00:00:00,4.0
1962-05-04 00:00:00,3.7
1962-05-05 00:00:00,3.8
1962-05-06 00:00:00,3.8
1962-05-07 00:00:00,3.5
1962-05-08 00:00:00,3.2
1962-05-09 00:00:00,3.1
1962-05-10 00:00:00,2.9
1962-05-11 00:00:00,2.9
1962-05-12 00:00:00,2.9
1962-05-13 00:00:00,3.2
1962-05-14 00:00:00,3.4
1962-05-15 00:00:00,4.2
1962-05-16 00:00:00,5.8
1962-05-17 00:00:00,5.4
1962-05-18 00:00:00,4.2
1962-05-19 00:00:00,4.4
1962-05-20 00:00:00,9.2
1962-05-21 00:00:00,7.8
1962-05-22 00:00:00,10.1
1962-05-23 00:00:00,11.8
1962-05-24 00:00:00,13.0
1962-05-25 00:00:00,22.0
1962-05-26 00:00:00,19.7
1962-05-27 00:00:00,19.2
1962-05-28 00:00:00,25.5
1962-05-29 00:00:00,22.8
1962-05-30 00:00:00,23.6
1962-05-31 00:00:00,28.2
1962-06-01 00:00:00,26.8
1962-06-02 00:00:00,21.5
1962-06-03 00:00:00,19.4
1962-06-04 00:00:00,22.8
1962-06-05 00:00:00,30.6
1962-06-06 00:00:00,33.3
1962-06-07 00:00:00,31.7
1962-06-08 00:00:00,29.0
1962-06-09 00:00:00,29.0
1962-06-10 00:00:00,24.1
1962-06-11 00:00:00,19.4
1962-06-12 00:00:00,14.9
1962-06-13 00:00:00,14.2
1962-06-14 00:00:00,15.9
1962-06-15 00:00:00,20.0
1962-06-16 00:00:00,26.8
1962-06-17 00:00:00,30.1
1962-06-18 00:00:00,31.2
1962-06-19 00:00:00,34.4
1962-06-20 00:00:00,39.9
1962-06-21 00:00:00,38.8
1962-06-22 00:00:00,36.6
1962-06-23 00:00:00,37.1
1962-06-24 00:00:00,39.1
1962-06-25 00:00:00,37.7
1962-06-26 00:00:00,38.8
1962-06-27 00:00:00,37.7
1962-06-28 00:00:00,37.1
1962-06-29 00:00:00,37.1
1962-06-30 00:00:00,37.5
1962-07-01 00:00:00,31.7
1962-07-02 00:00:00,24.1
1962-07-03 00:00:00,16.0
1962-07-04 00:00:00,17.4
1962-07-05 00:00:00,21.5
1962-07-06 00:00:00,36.3
1962-07-07 00:00:00,46.1
1962-07-08 00:00:00,50.2
1962-07-09 00:00:00,55.2
1962-07-10 00:00:00,59.0
1962-07-11 00:00:00,71.2
1962-07-12 00:00:00,98.0
1962-07-13 00:00:00,135.0
1962-07-14 00:00:00,147.0
1962-07-15 00:00:00,154.0
1962-07-16 00:00:00,162.0
1962-07-17 00:00:00,177.0
1962-07-18 00:00:00,207.0
1962-07-19 00:00:00,213.0
1962-07-20 00:00:00,214.0
1962-07-21 00:00:00,210.0
1962-07-22 00:00:00,209.0
1962-07-23 00:00:00,207.0
1962-07-24 00:00:00,207.0
1962-07-25 00:00:00,207.0
1962-07-26 00:00:00,205.0
1962-07-27 00:00:00,201.0
1962-07-28 00:00:00,191.0
1962-07-29 00:00:00,175.0
1962-07-30 00:00:00,153.0
1962-07-31 00:00:00,132.0
1962-08-01 00:00:00,112.0
1962-08-02 00:00:00,99.0
1962-08-03 00:00:00,105.0
1962-08-04 00:00:00,107.0
1962-08-05 00:00:00,107.0
1962-08-06 00:00:00,123.0
1962-08-07 00:00:00,126.0
1962-08-08 00:00:00,130.0
1962-08-09 00:00:00,138.0
1962-08-10 00:00:00,143.0
1962-08-11 00:00:00,161.0
1962-08-12 00:00:00,161.0
1962-08-13 00:00:00,174.0
1962-08-14 00:00:00,178.0
1962-08-15 00:00:00,178.0
1962-08-16 00:00:00,178.0
1962-08-17 00:00:00,177.0
1962-08-18 00:00:00,176.0
1962-08-19 00:00:00,171.0
1962-08-20 00:00:00,162.0
1962-08-21 00:00:00,153.0
1962-08-22 00:00:00,143.0
1962-08-23 00:00:00,135.0
1962-08-24 00:00:00,129.0
1962-08-25 00:00:00,123.0
1962-08-26 00:00:00,119.0
1962-08-27 00:00:00,117.0
1962-08-28 00:00:00,117.0
1962-08-29 00:00:00,123.0
1962-08-30 00:00:00,128.0
1962-08-31 00:00:00,123.0
1962-09-01 00:00:00,125.0
1962-09-02 00:00:00,119.0
1962-09-03 00:00:00,117.0
1962-09-04 00:00:00,105.0
1962-09-05 00:00:00,95.0
1962-09-06 00:00:00,92.0
1962-09-07 00:00:00,89.0
1962-09-08 00:00:00,93.0
1962-09-09 00:00:00,95.0
1962-09-10 00:00:00,114.0
1962-09-11 00:00:00,143.0
1962-09-12 00:00:00,160.0
1962-09-13 00:00:00,176.0
1962-09-14 00:00:00,191.0
1962-09-15 00:00:00,206.0
1962-09-16 00:00:00,221.0
1962-09-17 00:00:00,230.0
1962-09-18 00:00:00,238.0
1962-09-19 00:00:00,241.0
1962-09-20 00:00:00,243.0
1962-09-21 00:00:00,251.0
1962-09-22 00:00:00,253.0
1962-09-23 00:00:00,263.0
1962-09-24 00:00:00,278.0
1962-09-25 00:00:00,282.0
1962-09-26 00:00:00,287.0
1962-09-27 00:00:00,304.0
1962-09-28 00:00:00,319.0
1962-09-29 00:00:00,329.0
1962-09-30 00:00:00,327.0
1962-10-01 00:00:00,328.0
1962-10-02 00:00:00,328.0
1962-10-03 00:00:00,324.0
1962-10-04 00:00:00,318.0
1962-10-05 00:00:00,316.0
1962-10-06 00:00:00,304.0
1962-10-07 00:00:00,292.0
1962-10-08 00:00:00,304.0
1962-10-09 00:00:00,306.0
1962-10-10 00:00:00,299.0
1962-10-11 00:00:00,294.0
1962-10-12 00:00:00,283.0
1962-10-13 00:00:00,280.0
1962-10-14 00:00:00,277.0
1962-10-15 00:00:00,268.0
1962-10-16 00:00:00,261.0
1962-10-17 00:00:00,254.0
1962-10-18 00:00:00,244.0
1962-10-19 00:00:00,236.0
1962-10-20 00:00:00,228.0
1962-10-21 00:00:00,213.0
1962-10-22 00:00:00,213.0
1962-10-23 00:00:00,203.0
1962-10-24 00:00:00,184.0
1962-10-25 00:00:00,182.0
1962-10-26 00:00:00,167.0
1962-10-27 00:00:00,152.0
1962-10-28 00:00:00,134.0
1962-10-29 00:00:00,126.0
1962-10-30 00:00:00,105.0
1962-10-31 00:00:00,94.0
1962-11-01 00:00:00,86.0
1962-11-02 00:00:00,79.0
1962-11-03 00:00:00,75.0
1962-11-04 00:00:00,72.0
1962-11-05 00:00:00,70.0
1962-11-06 00:00:00,68.0
1962-11-07 00:00:00,66.0
1962-11-08 00:00:00,66.0
1962-11-09 00:00:00,65.0
1962-11-10 00:00:00,63.0
1962-11-11 00:00:00,63.0
1962-11-12 00:00:00,61.0
1962-11-13 00:00:00,58.0
1962-11-14 00:00:00,55.8
1962-11-15 00:00:00,54.0
1962-11-16 00:00:00,53.5
1962-11-17 00:00:00,51.5
1962-11-18 00:00:00,51.0
1962-11-19 00:00:00,48.2
1962-11-20 00:00:00,46.6
1962-11-21 00:00:00,45.7
1962-11-22 00:00:00,44.0
1962-11-23 00:00:00,43.2
1962-11-24 00:00:00,42.4
1962-11-25 00:00:00,40.2
1962-11-26 00:00:00,40.3
1962-11-27 00:00:00,39.8
1962-11-28 00:00:00,38.9
1962-11-29 00:00:00,38.4
1962-11-30 00:00:00,37.8
1962-12-01 00:00:00,36.5
1962-12-02 00:00:00,36.1
1962-12-03 00:00:00,35.7
1962-12-04 00:00:00,35.0
1962-12-05 00:00:00,34.0
1962-12-06 00:00:00,33.3
1962-12-07 00:00:00,32.7
1962-12-08 00:00:00,31.6
1962-12-09 00:00:00,31.4
1962-12-10 00:00:00,30.8
1962-12-11 00:00:00,29.9
1962-12-12 00:00:00,29.7
1962-12-13 00:00:00,29.4
1962-12-14 00:00:00,28.6
1962-12-15 00:00:00,28.3
1962-12-16 00:00:00,27.9
1962-12-17 00:00:00,27.3
1962-12-18 00:00:00,26.8
1962-12-19 00:00:00,26.3
1962-12-20 00:00:00,25.9
1962-12-21 00:00:00,25.2
1962-12-22 00:00:00,24.4
1962-12-23 00:00:00,24.0
1962-12-24 00:00:00,23.6
1962-12-25 00:00:00,23.1
1962-12-26 00:00:00,22.8
